MATCH,TEAM,match,team,passes completed,total passes,passes acc,goals for,total shots,on-target,possession,fouls committed,fouls suffered,distance,distance poss,offsides,distance not poss,yellow,red,high intensity,low intensity,sprints,time opp half,time opp third,goals_against,WDL,year
55,SWE,55,SWE,199,271,78.64285714,1,12,3,37,11,12,105.059,27.244,0,52.156,0,0,7.928571427,83.18121429,286,36.64285714,16.35714286,0,1,2018
56,COL,56,COL,405,516,77.33333333,4,14,4,49,23,13,135.875,44.86,0,53.257,0,0,7.708333335,83.8134,423,35.2,12.33333333,5,-1,2018
56,ENG,56,ENG,471,571,77.53333333,5,16,2,51,13,22,142.802,50.983,0,52.254,0,0,9.866666665,82.8036,415,45.66666667,22.8,4,1,2018
57,FRA,57,FRA,427,524,84.07142857,2,11,2,58,15,16,99.371,39.907,0,32.864,2,0,7.598214286,82.863,294,40.07142857,19.21428571,0,1,2018
57,URU,57,URU,215,322,65.5,0,11,4,42,17,15,103.418,32.408,0,43.551,2,0,7.928571427,83.05392857,300,42.28571429,20.07142857,2,-1,2018
58,BEL,58,BEL,307,370,84,1,8,3,43,16,14,105.194,37.811,0,45.834,0,0,8.538461538,82.79446154,318,29.30769231,11.15384615,1,0,2018
58,BRA,58,BRA,493,557,86.92857143,1,26,9,57,14,14,103.509,42.442,0,40.129,0,0,11.23214286,81.972,385,50.92857143,26.78571429,1,0,2018
59,CRO,59,CRO,615,753,79.66666667,6,17,3,62,18,24,139.097,62.451,0,41.021,4,0,9.25,82.8036,462,40.46666667,18.26666667,5,1,2018
59,RUS,59,RUS,276,399,66.4,5,13,7,38,25,15,147.901,40.794,1,71.661,1,0,11.71666667,81.5562,507,40.13333333,19.06666667,6,-1,2018
60,ENG,60,ENG,420,525,79.92857143,2,12,2,57,7,9,109.823,45.29,0,38.565,0,0,11.5625,81.972,356,46,23.35714286,0,1,2018
60,SWE,60,SWE,280,379,71.35714286,0,7,3,43,10,7,106.701,34.619,0,48.231,0,0,7.598214286,83.18121429,305,39.57142857,18.07142857,2,-1,2018
61,BEL,61,BEL,565,629,82.64285714,0,9,3,60,16,6,102.115,45.456,1,35.351,3,0,7.928571427,83.24485714,301,48.35714286,24.28571429,1,-1,2018
61,FRA,61,FRA,294,342,86.38461538,1,19,5,40,6,16,101.609,32.422,1,47.984,2,0,7.115384613,83.54838462,296,34.46153846,14.53846154,0,1,2018
62,CRO,62,CRO,494,622,70.66666667,2,22,7,54,23,13,143.286,54.381,1,50.433,2,0,11.40833333,82.3284,530,38.6,17.46666667,1,1,2018
62,ENG,62,ENG,377,479,70.66666667,1,11,1,46,14,21,147.828,46.547,3,61.544,1,0,8.941666665,82.566,488,41.26666667,20.2,2,-1,2018
63,BEL,63,BEL,450,510,89.85714286,2,12,4,43,11,5,107.843,43.864,0,49.674,0,0,8.589285714,83.11757143,322,32.64285714,12.64285714,0,1,2018
63,ENG,63,ENG,641,698,91.14285714,0,15,5,57,5,10,109.646,48.058,0,47.313,0,0,12.22321429,82.4175,378,51.07142857,25.85714286,2,-1,2018
64,CRO,64,CRO,456,547,80.30769231,2,15,3,61,13,12,100.261,45.567,1,29.223,1,0,9.25,83.2056923,349,48.53846154,26.61538462,3,-1,2018
64,FRA,64,FRA,202,271,72.5,3,8,6,39,14,12,99.238,26.612,1,46.387,2,0,9.910714286,83.62671429,318,31.28571429,14.28571429,2,1,2018
